2001May,9
2001Jun,6
2001Jul,5
2001Oct,1
2001Nov,13
2001Dec,7
2002Jan,4
2002Feb,1
2002Mar,2
2002May,1
2002Jul,10
2002Aug,6
2002Sep,2
2002Oct,4
2002Nov,2
2003Jan,3
2003Feb,7
2003Mar,5
2003Apr,2
2003May,9
2003Jul,4
2004Apr,2
2004May,2
2004Jun,5
2004Jul,8
2004Aug,6
2004Sep,18
2004Oct,24
2004Nov,30
2004Dec,77
2005Jan,102
2005Feb,94
2005Mar,154
2005Apr,253
2005May,163
2005Jun,168
2005Jul,95
2005Aug,90
2005Sep,55
2005Oct,37
2005Nov,71
2005Dec,42
2006Jan,49
2006Feb,48
2006Mar,44
2006Apr,33
2006May,29
2006Jun,31
2006Jul,30
2006Aug,19
2006Sep,20
2006Oct,13
2006Nov,11
2006Dec,8
2007Jan,15
2007Feb,17
2007Mar,18
2007Apr,36
2007May,58
2007Jun,51
2007Jul,31
2007Aug,64
2007Sep,41
2007Oct,29
2007Nov,33
2008Jan,2
2008Mar,1
2008Jul,1
2008Aug,1
2009Apr,1
2009Aug,2
2009Dec,1
2010May,1
2010Aug,2
2011Jan,1
2011May,1
2011Jun,1
2011Aug,2
2011Sep,1
2011Nov,1
2012Feb,1
2012Mar,1
2012Aug,2
2012Nov,1
2013Jun,436
2013Jul,1945
2013Aug,2063
2013Sep,1873
2013Oct,1963
2013Nov,1960
2013Dec,2017
2014Jan,1941
2014Feb,1741
2014Mar,1985
2014Apr,1704
2014May,2098
2014Jun,1664
2014Jul,1635
2014Aug,1851
2014Sep,1611
2014Oct,2014
2014Nov,2178
2014Dec,1741
2015Jan,2484
2015Feb,1897
2015Mar,2109
2015Apr,1982
2015May,2057
2015Jun,2081
2016Jun,1858
2015Jul,1991
2015Aug,2060
2015Sep,2303
2015Oct,2178
2015Nov,2401
2015Dec,2176
2016Jan,2096
2016Feb,1876
2016Mar,2547
2016Apr,2918
2016May,2272
2016Jul,1688
2016Aug,1787
2016Sep,1885
2016Oct,2020
2016Nov,1755
2016Dec,1957
2017Jan,1852
2017Feb,1992
2017Mar,2249
2017Apr,1995
2017May,1877
2017Jun,1690
2017Jul,1646
2017Aug,1436
2017Sep,1324
2017Oct,1107
2017Nov,1691
2017Dec,1736
2018Jan,1601
2018Feb,1096
2018Mar,1513
2018Apr,1290
2018May,1326
2018Jun,1228
2018Jul,1071
2018Aug,1191
2018Sep,1400
2018Oct,1345
2018Nov,1303
2018Dec,1236
2020Dec,925
2019Jan,1012
2019Oct,1355
2019Feb,1026
2019Mar,1036
2019Apr,1141
2019May,1124
2019Jun,1115
2019Jul,1243
2019Aug,1442
2019Sep,1161
2019Nov,1008
2019Dec,1144
2020Jan,1048
2020Feb,917
2020Mar,797
2020Apr,903
2020May,1120
2020Jun,992
2020Jul,964
2020Aug,786
2020Sep,772
2020Oct,929
2020Nov,1017
2021Jan,748
2021Feb,956
2021Mar,951
2021Apr,720
2021May,792
2021Jun,644
2021Jul,766
2021Aug,824
2021Sep,632
2021Oct,597
2021Nov,605
2021Dec,584
